estado,tipo_despesa,data_despesa,valor_previsto,limite_minimo,limite_maximo
PR,COMBUSTÍVEIS E LUBRIFICANTES.,2026-07-01,172422.89600000007,155180.60640000008,189665.18560000008
PR,COMBUSTÍVEIS E LUBRIFICANTES.,2026-08-01,186350.23628571435,167715.21265714293,204985.2599142858
PR,COMBUSTÍVEIS E LUBRIFICANTES.,2026-09-01,200277.57657142862,180249.81891428577,220305.3342285715
PR,COMBUSTÍVEIS E LUBRIFICANTES.,2026-10-01,214204.91685714293,192784.42517142865,235625.40854285724
PR,COMBUSTÍVEIS E LUBRIFICANTES.,2026-11-01,228132.25714285724,205319.03142857153,250945.48285714298
PR,COMBUSTÍVEIS E LUBRIFICANTES.,2026-12-01,242059.59742857152,217853.63768571438,266265.5571714287
PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,2026-06-01,748447.5179999999,673602.7662,823292.2698
PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,2026-07-01,827588.486,744829.6374,910347.3346000001
PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,2026-08-01,906729.4540000001,816056.5086000002,997402.3994000002
PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,2026-09-01,985870.422,887283.3798,1084457.4642
PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,2026-10-01,1065011.3900000001,958510.2510000002,1171512.5290000003
PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,2026-11-01,1144152.358,1029737.1222,1258567.5938000001
PR,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2026-07-01,4737.810666666666,4264.0296,5211.591733333334
PR,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2026-08-01,5180.124666666667,4662.1122000000005,5698.137133333334
PR,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2026-09-01,5622.438666666667,5060.1948,6184.6825333333345
PR,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2026-10-01,6064.752666666666,5458.2774,6671.227933333334
PR,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2026-11-01,6507.066666666666,5856.36,7157.773333333333
PR,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2026-12-01,6949.380666666666,6254.442599999999,7644.3187333333335
PR,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",2026-07-01,66189.9,59570.909999999996,72808.89
